Aar,Aar.N:m
anzufragen,anfragen.V#2
anzugeben,angeben.V#2
anzugehen,angehen.V#2
anzuhören,anhören.V#2
anzuklagen,anklagen.V#2
anzukommen,ankommen.V#2
anzunehmen,annehmen.V#2
anzuregen,anregen.V#2
anzusagen,ansagen.V#2
anzuschaffen,anzuschaffenschaffen.V#2
anzuschließen,anzuschließen.V#2
anzusehen,ansehen.V#2
anzustellen,anstellen.V#2
anzuwenden,anwenden.V#2
apart,apart.ADJ
Apathie,Apathie.N:f
Äpfel,Apfel.N:4pm:2pm:1pm
äpfel,äpfeln.V
Aphorismen,Aphorismus.N
Aphorismus,Aphorismus.N:m
aphoristische,aphoristisch.ADJ
Aphoristische,Aphoristische.N
aphoristischen,aphoristisch.ADJ
Aphoristischen,Aphoristische.N
Apotheke,Apotheke.N:4sf:3sf:2sf:1sf
Apparat,Apparat.N:m
apparatus,apparatus.N
apparent,apparent.ADJ
Appeals,Appeal.N:2sm
Approach,Approach.N:m
April,April.N:m
äquivalent,äquivalent.ADJ
Äquivalent,Äquivalent.N:n
arbeit,arbeiten.V
Arbeit,Arbeit.N:4sf:3sf:2sf:1sf
arbeite,arbeiten.V
Arbeiten,Arbeiten.N:4sn:3sn:1sn
arbeiten,arbeiten.V
Arbeitern,Arbeiter.N:3pm
arbeitet,arbeiten.V
arbeitete,arbeiten.V
Arbeitslosigkeit,Arbeitslosigkeit.N:4sf:3sf:2sf:1sf
Architekt,Architekt.N:1sm
Architekten,Architekt.N:m
Archiv,Archiv.N:n
Are,Are.N:f
Aren,Are.N
arg,arg.ADJ
Arg,Arg.N:n
ärger,arg.ADJ
Ärger,Ärger.N:m
ärgere,arg.ADJ
Ärgere,Arge.N
ärgerlich,ärgerlich.ADJ
Ärgern,Ärgern.N:4sn:3sn:1sn
ärgern,ärgern.V
ärgert,ärgern.V
Argonauten,Argonaut.N:m
ärgste,arg.ADJ
Ärgste,Arge.N
ärgsten,arg.ADJ
Ärgsten,Arge.N
Argument,Argument.N:n
Argumente,Argument.N:4pn:3sn:2pn:1pn
Argumentieren,Argumentieren.N:4sn:3sn:1sn
argumentieren,argumentieren.V
argwöhne,argwöhnen.V
Ariern,Arier.N:3pm
Arithmetik,Arithmetik.N:f
arm,arm.ADJ
Arm,Arm.N:m
arme,arm.ADJ
Arme,Arme.N
Armee,Armee.N
armen,arm.ADJ
Armen,Arme.N
armer,arm.ADJ
Armer,Arme.N
Arms,Arm.N:2sm
Armut,Armut.N:4sf:3sf:2sf:1sf
Arrangement,Arrangement.N:n
Arrangements,Arrangement.N:4pn:3pn:2sn:2pn:1pn
Arrangieren,Arrangieren.N:4sn:3sn:1sn
arrangieren,arrangieren.V
Arrest,Arrest.N:m
Arrival,Arrival.N:n
arrogant,arrogant.ADJ
art,art.N
Art,Art.N:f
Artikel,Artikel.N:m
Artikulate,Artikulate.N:1sm
artikuliert,artikulieren.V
Artillerie,Artillerie.N:f
Arts,Art.N
Arzt,Arzt.N:m
Ärzte,Ärztearzt.N
Ärzten,Arzt.N:3pm
Arztes,Arzt.N:2sm
ärztliche,ärztlich.ADJ
Ärztliche,Ärztliche.N
ärztlicher,ärztlich.ADJ
Ärztlicher,Ärztliche.N
As,As.N:m
Asphyxie,Asphyxie.N:f
Assertion,Assertion.N:4sf:3sf:2sf:1sf
Assistent,Assistent.N:1sm
Assistenten,Assistent.N:m
Assumption,Assumption.N:4sf:3sf:2sf:1sf
Assumptions,Assumption.N
äste,äsen.V
Äste,Ästeast.N:m
Ästhetik,Ästhetik.N:f
Asthma,Asthma.N:n
Astronom,Astronom.N:m
Astronomen,Astronom.N:m
Astronomie,Astronomie.N:f
Atelier,Atelier.N:n
Atem,Atem.N:m
Atheismus,Atheismus.N:m
Atlas,Atlas.N:m
Atmen,Atmen.N:4sn:3sn:1sn
atmen,atmen.V
Atmosphäre,Atmosphäre.N:f
Attention,Attention.N:4sf:3sf:2sf:1sf
Attitude,Attitude.N:f
Attributes,Attribut.N:2sn
auch,auch.CONJS
Auen,Aue.N
Aufbewahrung,Aufbewahrung.N:4sf:3sf:2sf:1sf
aufbrächtest,aufbringen.V#3
Aufenthalt,Aufenthalt.N:4sm:3sm:1sm
Aufenthalte,Aufenthalt.N:4pm:3sm:2pm:1pm
Aufenthalts,Aufenthalt.N
auffahrende,auffahrend.ADJ
Auffahrende,Auffahrende.N
auffallender,auffallend.ADJ
Auffallender,Auffallende.N
Auffassen,Auffassen.N:4sn:3sn:1sn
auffassen,auffassen.V#3
Auffassung,Auffassung.N:4sf:3sf:2sf:1sf
Auffassungen,Auffassung.N:4pf:3pf:2pf:1pf
auffindbar,auffindbar.ADJ
Auffinden,Auffinden.N:4sn:3sn:1sn
auffinden,auffinden.V#3
Auffordern,Auffordern.N:4sn:3sn:1sn
auffordern,auffordern.V#3
Aufforderung,Aufforderung.N:4sf:3sf:2sf:1sf
Aufführung,Aufführung.N:4sf:3sf:2sf:1sf
Aufgabe,Aufgabe.N:f
Aufgaben,Aufgabe.N:f
aufgaben,aufgeben.V#3
Aufgeben,Aufgeben.N:4sn:3sn:1sn
aufgeben,aufgeben.V#3
Aufgebot,Aufgebot.N:n
aufgebracht,aufbringen.V#3
aufgebraucht,aufbrauchen.V#3
aufgefallen,auffallen.V#3
aufgefaßt,auffassen.V#3
aufgefordert,auffordern.V#3
aufgeführt,aufführen.V#3
aufgefunden,auffinden.V#3
aufgegeben,aufgeben.V#3
aufgegessen,aufessen.V#3
aufgehalten,aufhalten.V#3
Aufgehen,Aufgehen.N:4sn:3sn:1sn
aufgehen,aufgehen.V#3
aufgehört,aufhören.V#3
aufgelistet,auflisten.V#3
aufgelöst,auflösen.V#3
aufgenommen,aufnehmen.V#3
aufgeregt,aufregen.V#3
aufgeregten,aufgeregt.ADJ
Aufgeregten,Aufgeregte.N
aufgeregter,aufgeregt.ADJ
Aufgeregter,Aufgeregte.N
aufgerufen,aufrufen.V#3
aufgeschoben,aufschieben.V#3
aufgeschrieben,aufgeschrieben.ADJ
aufgestiegen,aufsteigen.V#3
aufgesucht,aufsuchen.V#3
aufgetischte,aufgetischt.ADJ
Aufgetischte,Aufgetischte.N
aufgewachsene,aufgewachsen.ADJ
Aufgewachsene,Aufgewachsene.N
Aufgreifen,Aufgreifen.N:4sn:3sn:1sn
aufgreifen,aufgreifen.V#3
Aufguß,Aufguß.N:m
Aufhängen,Aufhang.N:3pm
aufhängen,aufhängen.V#3
Aufheiterung,Aufheiterung.N:4sf:3sf:2sf:1sf
Aufhören,Aufhören.N:4sn:3sn:1sn
aufhören,aufhören.V#3
aufhört,aufhören.V#3
Aufklärer,Aufklärer.N:m
Aufklärungen,Aufklärung.N:4pf:3pf:2pf:1pf
Auflösung,Auflösung.N:4sf:3sf:2sf:1sf
