Aar,Aar.N:m
Beifall,Beifall.N:m
Beifügen,Beifügen.N:n
Beigelegten,Beigelegte.N
Beilage,Beilage.N:f
Beilagen,Beilage.N:f
Beiliegende,Beiliegende.N
Beiliegendem,Beiliegende.N
Beiliegenden,Beiliegende.N
Beiliegendes,Beiliegende.N
Beine,Bein.N:n
Beinen,Bein.N:n
Beisammensein,Beisammensein.N:n
Beisammensitzen,Beisammensitzen.N:n
Beisetzen,Beisetzen.N:n
Beispiel,Beispiel.N:n
Beispiele,Beispiel.N:n
Beispiellose,Beispiellose.N
Beispielloser,Beispiellose.N
Beistand,Beistand.N:m
Beistehen,Beistehen.N:n
Beitrag,Beitrag.N:m
Beitragen,Beitragen.N:n
Beitrages,Beitrag.N:m
Beiträge,Beitrag.N:m
Beiträgen,Beitrag.N:m
Bekannte,Bekannte.N
Bekannten,Bekannte.N
Bekannter,Bekannte.N
Bekanntes,Bekannte.N
Bekanntschaft,Bekanntschaft.N:f
Beklagen,Beklagen.N:n
Beklagende,Beklagende.N
Beklagten,Beklagte.N
Bekommen,Bekommen.N:n
Bekämpfen,Bekämpfen.N:n
Belasten,Belasten.N:n
Belastung,Belastung.N:f
Belege,Beleg.N
Belehren,Belehren.N:n
Belehrung,Belehrung.N:f
Beleidigen,Beleidigen.N:n
Beleidigte,Beleidigte.N
Beleidigung,Beleidigung.N:f
Belesenheit,Belesenheit.N:f
Belohnung,Belohnung.N:f
Belästigung,Belästigung.N:f
Bemerkung,Bemerkung.N:f
Bemerkungen,Bemerkung.N:f
Bemühen,Bemühen.N:n
Bemühung,Bemühung.N:f
Bemühungen,Bemühung.N:f
Benachbarten,Benachbarte.N
Benachrichtigen,Benachrichtigen.N:n
Benachrichtigung,Benachrichtigung.N:f
Benedictus,Benedictus.N:n
Benehmen,Benehmen.N:n
Benutzen,Benutzen.N:n
Benützte,Benützte.N
Benützten,Benützte.N
Benützung,Benützung.N:f
Beobachten,Beobachten.N:n
Beobachter,Beobachter.N:m
Beobachtete,Beobachtete.N
Beobachteter,Beobachtete.N
Beobachtungen,Beobachtung.N:f
Bequeme,Bequeme.N
Bequemen,Bequeme.N
Bequemsten,Bequeme.N
Beraten,Beraten.N:n
Berechnen,Berechnen.N:n
Berechtigtes,Berechtigte.N
Berechtigung,Berechtigung.N:f
Beredsamkeit,Beredsamkeit.N:f
Bereinigen,Bereinigen.N:n
Bereiten,Bereite.N
Berge,Berg.N:m
Bergen,Berg.N:m
Bericht,Bericht.N:m
Berichte,Bericht.N:m
Berichten,Bericht.N:m
Berichterstatters,Berichterstatter.N:m
Berichtete,Berichtete.N
Berichtigen,Berichtigen.N:n
Berlin,Berlin.N:n
Berliner,Berliner.N:m:1sm:1pm
Beruf,Beruf.N:m
Berufe,Beruf.N:m
Berufen,Beruf.N:m
Berufener,Berufene.N
Beruhigen,Beruhigen.N:n
Beruhigende,Beruhigende.N
Beruhigte,Beruhigte.N
Beruhigung,Beruhigung.N:f
Berücksichtigen,Berücksichtigen.N:n
Berühren,Berühren.N:n
Berührung,Berührung.N:f
Beschaffen,Beschaffen.N:n
Bescheid,Bescheid.N:m
Bescheiden,Bescheid.N:m
Bescheidenheit,Bescheidenheit.N:f
Beschenkten,Beschenkte.N
Bescheren,Bescheren.N:n
Bescherung,Bescherung.N:f
Beschimpfung,Beschimpfung.N:f
Beschissenen,Beschissene.N
Beschreibung,Beschreibung.N:f
Beschränken,Beschränken.N:n
Beschwerde,Beschwerde.N:f
Beschwerden,Beschwerde.N
Beschäftigen,Beschäftigen.N:n
Beschäftigung,Beschäftigung.N:f
Beschämende,Beschämende.N
Beschämendes,Beschämende.N
Beseitigen,Beseitigen.N:n
Beseitigung,Beseitigung.N:f
Besetzten,Besetzte.N
Besinnung,Besinnung.N:f
Besitz,Besitz.N:m
Besitze,Besitz.N:m
Besitzen,Besitz.N:m
Besorgen,Besorgen.N:n
Besorgnis,Besorgnis.N:f
Besprechen,Besprechen.N:n
Besprechung,Besprechung.N:f
Bessern,Bessern.N:n
Besserung,Besserung.N:f
Bestand,Bestand.N:m
Besteck,Besteck.N:n
Bestehen,Bestehen.N:n
Bestehender,Bestehende.N
Bestellen,Bestellen.N:n
Bestellung,Bestellung.N:f
Bestien,Bestie.N
Bestimmen,Bestimmen.N:n
Bestimmte,Bestimmte.N
Bestimmten,Bestimmte.N
Bestimmtes,Bestimmte.N
Bestrahlung,Bestrahlung.N:f
Bestrebungen,Bestrebung.N:f
Bestreichen,Bestreichen.N:n
Bestätigen,Bestätigen.N:n
Bestätigung,Bestätigung.N:f
Bestürzung,Bestürzung.N:f
Besuch,Besuch.N:m
Besuche,Besuch.N:m
Besuchen,Besuch.N:m
Besuches,Besuch.N:m
Besuchs,Besuch.N
Besuchte,Besuchte.N
Besuchten,Besuchte.N
Besudelung,Besudelung.N:f
Bete,Bete.N:f
Beteilenden,Beteilende.N
Beteiligen,Beteiligen.N:n
Beteiligten,Beteiligte.N
Betonen,Beton.N:m
Betracht,Betracht.N:m
Betrachte,Betracht.N:m
Betrachten,Betrachten.N:n
Betrachtungen,Betrachtung.N:f
Betrag,Betrag.N:m
Betreff,Betreff.N:m
